t,q_int,q_restored
9.165,-16258,-0.496155
9.17,-16680,-0.509033
9.175,-17145,-0.523224
9.18,-17558,-0.535828
9.185,-18016,-0.549805
9.19,-18418,-0.562073
9.195,-18868,-0.575806
9.2,-19261,-0.587799
9.205,-19703,-0.601288
9.21,-20084,-0.612915
9.215,-20517,-0.626129
9.22,-20887,-0.637421
9.225,-21311,-0.65036
9.23,-21670,-0.661316
9.235,-22084,-0.67395
9.24,-22431,-0.68454
9.245,-22835,-0.696869
9.25,-23170,-0.707092
9.255,-23564,-0.719116
9.26,-23887,-0.728973
9.265,-24271,-0.740692
9.27,-24580,-0.750122
9.275,-24952,-0.761475
9.28,-25248,-0.770508
9.285,-25609,-0.781525
9.29,-25892,-0.790161
9.295,-26241,-0.800812
9.3,-26510,-0.809021
9.305,-26847,-0.819305
9.31,-27102,-0.827087
9.315,-27426,-0.836975
9.32,-27667,-0.84433
9.325,-27979,-0.853851
9.33,-28205,-0.860748
9.335,-28504,-0.869873
9.34,-28715,-0.876312
9.345,-29001,-0.88504
9.35,-29197,-0.891022
9.355,-29468,-0.899292
9.36,-29649,-0.904816
9.365,-29907,-0.912689
9.37,-30073,-0.917755
9.375,-30317,-0.925201
9.38,-30467,-0.929779
9.385,-30696,-0.936768
9.39,-30831,-0.940887
9.395,-31045,-0.947418
9.4,-31164,-0.95105
9.405,-31363,-0.957123
9.41,-31467,-0.960297
9.415,-31652,-0.965942
9.42,-31739,-0.968597
9.425,-31908,-0.973755
9.43,-31979,-0.975922
9.435,-32133,-0.980621
9.44,-32188,-0.9823
9.445,-32326,-0.986511
9.45,-32365,-0.987701
9.455,-32487,-0.991425
9.46,-32510,-0.992126
9.465,-32617,-0.995392
9.47,-32623,-0.995575
9.475,-32713,-0.998322
9.48,-32703,-0.998016
9.485,-32768,-1
9.49,-32752,-0.999512
9.495,-32768,-1
9.5,-32768,-1
9.505,-32768,-1
9.51,-32752,-0.999512
9.515,-32768,-1
9.52,-32703,-0.998016
9.525,-32713,-0.998322
9.53,-32623,-0.995575
9.535,-32617,-0.995392
9.54,-32510,-0.992126
9.545,-32487,-0.991425
9.55,-32365,-0.987701
9.555,-32326,-0.986511
9.56,-32188,-0.9823
9.565,-32133,-0.980621
9.57,-31979,-0.975922
9.575,-31908,-0.973755
9.58,-31739,-0.968597
9.585,-31652,-0.965942
9.59,-31467,-0.960297
9.595,-31363,-0.957123
9.6,-31164,-0.95105
9.605,-31045,-0.947418
9.61,-30831,-0.940887
9.615,-30696,-0.936768
9.62,-30467,-0.929779
9.625,-30317,-0.925201
9.63,-30073,-0.917755
9.635,-29907,-0.912689
9.64,-29649,-0.904816
9.645,-29468,-0.899292
9.65,-29197,-0.891022
9.655,-29001,-0.88504
9.66,-28715,-0.876312
9.665,-28504,-0.869873
9.67,-28205,-0.860748
9.675,-27979,-0.853851
9.68,-27667,-0.84433
9.685,-27426,-0.836975
9.69,-27102,-0.827087
9.695,-26847,-0.819305
9.7,-26510,-0.809021
9.705,-26241,-0.800812
9.71,-25892,-0.790161
9.715,-25609,-0.781525
9.72,-25248,-0.770508
9.725,-24952,-0.761475
9.73,-24580,-0.750122
9.735,-24271,-0.740692
9.74,-23887,-0.728973
9.745,-23564,-0.719116
9.75,-23170,-0.707092
9.755,-22835,-0.696869
9.76,-22431,-0.68454
9.765,-22084,-0.67395
9.77,-21670,-0.661316
9.775,-21311,-0.65036
9.78,-20887,-0.637421
9.785,-20517,-0.626129
9.79,-20084,-0.612915
9.795,-19703,-0.601288
9.8,-19261,-0.587799
9.805,-18868,-0.575806
9.81,-18418,-0.562073
9.815,-18016,-0.549805
9.82,-17558,-0.535828
9.825,-17145,-0.523224
9.83,-16680,-0.509033
9.835,-16258,-0.496155
9.84,-15786,-0.48175
9.845,-15355,-0.468597
9.85,-14876,-0.453979
9.855,-14436,-0.440552
9.86,-13952,-0.425781
9.865,-13506,-0.41217
9.87,-13014,-0.397156
9.875,-12559,-0.38327
9.88,-12063,-0.368134
9.885,-11604,-0.354126
9.89,-11100,-0.338745
9.895,-10631,-0.324432
9.9,-10126,-0.309021
9.905,-9656,-0.294678
9.91,-9142,-0.278992
9.915,-8660,-0.264282
9.92,-8149,-0.248688
9.925,-7672,-0.234131
9.93,-7148,-0.21814
9.935,-6653,-0.203033
9.94,-6140,-0.187378
9.945,-5660,-0.172729
9.95,-5126,-0.156433
9.955,-4618,-0.14093
9.96,-4107,-0.125336
9.965,-3630,-0.110779
9.97,-3084,-0.0941162
9.975,-2557,-0.0780334
9.98,-2058,-0.0628052
9.985,-1603,-0.0489197
9.99,-1029,-0.0314026
9.995,-434,-0.0132446
