t,x
1.69,-0.827081
1.695,-0.819347
1.7,-0.809017
1.705,-0.800855
1.71,-0.790155
1.715,-0.781572
1.72,-0.770513
1.725,-0.761519
1.73,-0.750111
1.735,-0.740713
1.74,-0.728969
1.745,-0.719177
1.75,-0.707107
1.755,-0.696931
1.76,-0.684547
1.765,-0.673997
1.77,-0.661312
1.775,-0.650398
1.78,-0.637424
1.785,-0.626157
1.79,-0.612907
1.795,-0.601299
1.8,-0.587785
1.805,-0.575847
1.81,-0.562083
1.815,-0.549826
1.82,-0.535827
1.825,-0.523263
1.83,-0.509041
1.835,-0.496184
1.84,-0.481754
1.845,-0.468614
1.85,-0.45399
1.855,-0.440583
1.86,-0.425779
1.865,-0.412116
1.87,-0.397148
1.875,-0.383243
1.88,-0.368125
1.885,-0.353992
1.89,-0.338738
1.895,-0.324391
1.9,-0.309017
1.905,-0.294471
1.91,-0.278991
1.915,-0.264259
1.92,-0.24869
1.925,-0.233787
1.93,-0.218143
1.935,-0.203084
1.94,-0.187381
1.945,-0.172181
1.95,-0.156434
1.955,-0.141107
1.96,-0.125333
1.965,-0.109895
1.97,-0.0941083
1.975,-0.0785739
1.98,-0.0627905
1.985,-0.0471754
1.99,-0.0314108
1.995,-0.0157303
2,-2.44929e-16
2.005,0.0157303
2.01,0.0314108
2.015,0.0471754
2.02,0.0627905
2.025,0.0785739
2.03,0.0941083
2.035,0.109895
2.04,0.125333
2.045,0.141107
2.05,0.156434
2.055,0.172181
2.06,0.187381
2.065,0.203084
2.07,0.218143
2.075,0.233787
2.08,0.24869
2.085,0.264259
2.09,0.278991
2.095,0.294471
2.1,0.309017
2.105,0.324391
2.11,0.338738
2.115,0.353992
2.12,0.368125
2.125,0.383243
2.13,0.397148
2.135,0.412116
2.14,0.425779
2.145,0.440583
2.15,0.45399
2.155,0.468614
2.16,0.481754
2.165,0.496184
2.17,0.509041
2.175,0.523263
2.18,0.535827
2.185,0.549826
2.19,0.562083
2.195,0.575847
2.2,0.587785
2.205,0.601299
2.21,0.612907
2.215,0.626157
2.22,0.637424
2.225,0.650398
2.23,0.661312
2.235,0.673997
2.24,0.684547
2.245,0.696931
2.25,0.707107
2.255,0.719177
2.26,0.728969
2.265,0.740713
2.27,0.750111
2.275,0.761519
2.28,0.770513
2.285,0.781572
2.29,0.790155
2.295,0.800855
2.3,0.809017
2.305,0.819347
2.31,0.827081
2.315,0.83703
2.32,0.844328
2.325,0.853888
2.33,0.860742
2.335,0.869902
2.34,0.876307
2.345,0.885059
2.35,0.891007
2.355,0.899341
2.36,0.904827
2.365,0.912737
2.37,0.917755
2.375,0.925231
2.38,0.929776
2.385,0.936813
2.39,0.940881
2.395,0.94747
2.4,0.951057
2.405,0.957191
2.41,0.960294
2.415,0.965969
2.42,0.968583
2.425,0.973793
2.43,0.975917
2.435,0.980656
2.44,0.982287
2.445,0.986551
2.45,0.987688
2.455,0.991472
2.46,0.992115
2.465,0.995415
2.47,0.995562
2.475,0.998376
2.48,0.998027
2.485,1.00035
2.49,0.999507
2.495,1.00134
2.5,1
2.505,1.00134
2.51,0.999507
2.515,1.00035
2.52,0.998027
2.525,0.998376
2.53,0.995562
2.535,0.995415
2.54,0.992115
2.545,0.991472
2.55,0.987688
2.555,0.986551
