t,x
7.345,-0.885059
7.35,-0.891007
7.355,-0.899341
7.36,-0.904827
7.365,-0.912737
7.37,-0.917755
7.375,-0.925231
7.38,-0.929776
7.385,-0.936813
7.39,-0.940881
7.395,-0.94747
7.4,-0.951057
7.405,-0.957191
7.41,-0.960294
7.415,-0.965969
7.42,-0.968583
7.425,-0.973793
7.43,-0.975917
7.435,-0.980656
7.44,-0.982287
7.445,-0.986551
7.45,-0.987688
7.455,-0.991472
7.46,-0.992115
7.465,-0.995415
7.47,-0.995562
7.475,-0.998376
7.48,-0.998027
7.485,-1.00035
7.49,-0.999507
7.495,-1.00134
7.5,-1
7.505,-1.00134
7.51,-0.999507
7.515,-1.00035
7.52,-0.998027
7.525,-0.998376
7.53,-0.995562
7.535,-0.995415
7.54,-0.992115
7.545,-0.991472
7.55,-0.987688
7.555,-0.986551
7.56,-0.982287
7.565,-0.980656
7.57,-0.975917
7.575,-0.973793
7.58,-0.968583
7.585,-0.965969
7.59,-0.960294
7.595,-0.957191
7.6,-0.951057
7.605,-0.94747
7.61,-0.940881
7.615,-0.936813
7.62,-0.929776
7.625,-0.925231
7.63,-0.917755
7.635,-0.912737
7.64,-0.904827
7.645,-0.899341
7.65,-0.891007
7.655,-0.885059
7.66,-0.876307
7.665,-0.869902
7.67,-0.860742
7.675,-0.853888
7.68,-0.844328
7.685,-0.83703
7.69,-0.827081
7.695,-0.819347
7.7,-0.809017
7.705,-0.800855
7.71,-0.790155
7.715,-0.781572
7.72,-0.770513
7.725,-0.761519
7.73,-0.750111
7.735,-0.740713
7.74,-0.728969
7.745,-0.719177
7.75,-0.707107
7.755,-0.696931
7.76,-0.684547
7.765,-0.673997
7.77,-0.661312
7.775,-0.650398
7.78,-0.637424
7.785,-0.626157
7.79,-0.612907
7.795,-0.601299
7.8,-0.587785
7.805,-0.575847
7.81,-0.562083
7.815,-0.549826
7.82,-0.535827
7.825,-0.523263
7.83,-0.509041
7.835,-0.496184
7.84,-0.481754
7.845,-0.468614
7.85,-0.45399
7.855,-0.440583
7.86,-0.425779
7.865,-0.412116
7.87,-0.397148
7.875,-0.383243
7.88,-0.368125
7.885,-0.353992
7.89,-0.338738
7.895,-0.324391
7.9,-0.309017
7.905,-0.294471
7.91,-0.278991
7.915,-0.264259
7.92,-0.24869
7.925,-0.233787
7.93,-0.218143
7.935,-0.203084
7.94,-0.187381
7.945,-0.172181
7.95,-0.156434
7.955,-0.141107
7.96,-0.125333
7.965,-0.109895
7.97,-0.0941083
7.975,-0.0785739
7.98,-0.0627905
7.985,-0.0471754
7.99,-0.0314108
7.995,-0.0157303
8,-9.79717e-16
8.005,0.0157303
8.01,0.0314108
8.015,0.0471754
8.02,0.0627905
8.025,0.0785739
8.03,0.0941083
8.035,0.109895
8.04,0.125333
8.045,0.141107
8.05,0.156434
8.055,0.172181
8.06,0.187381
8.065,0.203084
8.07,0.218143
8.075,0.233787
8.08,0.24869
8.085,0.264259
8.09,0.278991
8.095,0.294471
8.1,0.309017
8.105,0.324391
8.11,0.338738
8.115,0.353992
8.12,0.368125
8.125,0.383243
8.13,0.397148
8.135,0.412116
8.14,0.425779
8.145,0.440583
8.15,0.45399
8.155,0.468614
8.16,0.481754
8.165,0.496184
8.17,0.509041
8.175,0.523263
8.18,0.535827
8.185,0.549826
8.19,0.562083
8.195,0.575847
8.2,0.587785
8.205,0.601299
8.21,0.612907
8.215,0.626157
8.22,0.637424
8.225,0.650398
8.23,0.661312
8.235,0.673997
8.24,0.684547
8.245,0.696931
8.25,0.707107
8.255,0.719177
8.26,0.728969
8.265,0.740713
8.27,0.750111
8.275,0.761519
8.28,0.770513
8.285,0.781572
8.29,0.790155
8.295,0.800855
8.3,0.809017
8.305,0.819347
8.31,0.827081
8.315,0.83703
8.32,0.844328
8.325,0.853888
8.33,0.860742
8.335,0.869902
8.34,0.876307
8.345,0.885059
8.35,0.891007
8.355,0.899341
8.36,0.904827
8.365,0.912737
8.37,0.917755
8.375,0.925231
8.38,0.929776
8.385,0.936813
8.39,0.940881
8.395,0.94747
8.4,0.951057
8.405,0.957191
8.41,0.960294
8.415,0.965969
8.42,0.968583
8.425,0.973793
8.43,0.975917
8.435,0.980656
8.44,0.982287
8.445,0.986551
8.45,0.987688
8.455,0.991472
8.46,0.992115
8.465,0.995415
8.47,0.995562
8.475,0.998376
8.48,0.998027
8.485,1.00035
8.49,0.999507
8.495,1.00134
8.5,1
8.505,1.00134
8.51,0.999507
8.515,1.00035
8.52,0.998027
8.525,0.998376
8.53,0.995562
8.535,0.995415
8.54,0.992115
8.545,0.991472
8.55,0.987688
8.555,0.986551
8.56,0.982287
8.565,0.980656
8.57,0.975917
8.575,0.973793
8.58,0.968583
8.585,0.965969
8.59,0.960294
8.595,0.957191
8.6,0.951057
8.605,0.94747
8.61,0.940881
8.615,0.936813
8.62,0.929776
8.625,0.925231
8.63,0.917755
8.635,0.912737
8.64,0.904827
8.645,0.899341
8.65,0.891007
8.655,0.885059
8.66,0.876307
8.665,0.869902
8.67,0.860742
8.675,0.853888
8.68,0.844328
8.685,0.83703
8.69,0.827081
8.695,0.819347
8.7,0.809017
8.705,0.800855
8.71,0.790155
8.715,0.781572
8.72,0.770513
8.725,0.761519
8.73,0.750111
8.735,0.740713
8.74,0.728969
8.745,0.719177
8.75,0.707107
8.755,0.696931
8.76,0.684547
8.765,0.673997
8.77,0.661312
8.775,0.650398
8.78,0.637424
8.785,0.626157
8.79,0.612907
8.795,0.601299
8.8,0.587785
8.805,0.575847
8.81,0.562083
8.815,0.549826
8.82,0.535827
8.825,0.523263
8.83,0.509041
8.835,0.496184
8.84,0.481754
8.845,0.468614
8.85,0.45399
8.855,0.440583
8.86,0.425779
8.865,0.412116
8.87,0.397148
8.875,0.383243
8.88,0.368125
8.885,0.353992
8.89,0.338738
8.895,0.324391
8.9,0.309017
8.905,0.294471
8.91,0.278991
8.915,0.264259
8.92,0.24869
8.925,0.233787
8.93,0.218143
8.935,0.203084
8.94,0.187381
8.945,0.172181
8.95,0.156434
8.955,0.141107
8.96,0.125333
8.965,0.109895
8.97,0.0941083
8.975,0.0785739
8.98,0.0627905
8.985,0.0471754
8.99,0.0314108
8.995,0.0157303
9,1.10218e-15
9.005,-0.0157303
9.01,-0.0314108
9.015,-0.0471754
9.02,-0.0627905
9.025,-0.0785739
9.03,-0.0941083
9.035,-0.109895
9.04,-0.125333
9.045,-0.141107
9.05,-0.156434
9.055,-0.172181
9.06,-0.187381
9.065,-0.203084
9.07,-0.218143
9.075,-0.233787
9.08,-0.24869
9.085,-0.264259
9.09,-0.278991
9.095,-0.294471
9.1,-0.309017
9.105,-0.324391
9.11,-0.338738
9.115,-0.353992
9.12,-0.368125
9.125,-0.383243
9.13,-0.397148
9.135,-0.412116
9.14,-0.425779
9.145,-0.440583
9.15,-0.45399
9.155,-0.468614
9.16,-0.481754
9.165,-0.496184
9.17,-0.509041
9.175,-0.523263
9.18,-0.535827
9.185,-0.549826
9.19,-0.562083
9.195,-0.575847
9.2,-0.587785
9.205,-0.601299
9.21,-0.612907
9.215,-0.626157
9.22,-0.637424
9.225,-0.650398
9.23,-0.661312
9.235,-0.673997
9.24,-0.684547
9.245,-0.696931
9.25,-0.707107
9.255,-0.719177
9.26,-0.728969
9.265,-0.740713
9.27,-0.750111
9.275,-0.761519
9.28,-0.770513
9.285,-0.781572
9.29,-0.790155
9.295,-0.800855
9.3,-0.809017
9.305,-0.819347
9.31,-0.827081
9.315,-0.83703
9.32,-0.844328
9.325,-0.853888
9.33,-0.860742
9.335,-0.869902
9.34,-0.876307
9.345,-0.885059
9.35,-0.891007
9.355,-0.899341
9.36,-0.904827
9.365,-0.912737
9.37,-0.917755
9.375,-0.925231
9.38,-0.929776
9.385,-0.936813
9.39,-0.940881
9.395,-0.94747
9.4,-0.951057
9.405,-0.957191
9.41,-0.960294
9.415,-0.965969
9.42,-0.968583
9.425,-0.973793
9.43,-0.975917
9.435,-0.980656
9.44,-0.982287
9.445,-0.986551
9.45,-0.987688
9.455,-0.991472
9.46,-0.992115
9.465,-0.995415
9.47,-0.995562
9.475,-0.998376
9.48,-0.998027
9.485,-1.00035
9.49,-0.999507
9.495,-1.00134
9.5,-1
9.505,-1.00134
9.51,-0.999507
9.515,-1.00035
9.52,-0.998027
9.525,-0.998376
9.53,-0.995562
9.535,-0.995415
9.54,-0.992115
9.545,-0.991472
9.55,-0.987688
9.555,-0.986551
9.56,-0.982287
9.565,-0.980656
9.57,-0.975917
9.575,-0.973793
9.58,-0.968583
9.585,-0.965969
9.59,-0.960294
9.595,-0.957191
9.6,-0.951057
9.605,-0.94747
9.61,-0.940881
9.615,-0.936813
9.62,-0.929776
9.625,-0.925231
9.63,-0.917755
9.635,-0.912737
9.64,-0.904827
9.645,-0.899341
9.65,-0.891007
9.655,-0.885059
9.66,-0.876307
9.665,-0.869902
9.67,-0.860742
9.675,-0.853888
9.68,-0.844328
9.685,-0.83703
9.69,-0.827081
9.695,-0.819347
9.7,-0.809017
9.705,-0.800855
9.71,-0.790155
9.715,-0.781572
9.72,-0.770513
9.725,-0.761519
9.73,-0.750111
9.735,-0.740713
9.74,-0.728969
9.745,-0.719177
9.75,-0.707107
9.755,-0.696931
9.76,-0.684547
9.765,-0.673997
9.77,-0.661312
9.775,-0.650398
9.78,-0.637424
9.785,-0.626157
9.79,-0.612907
9.795,-0.601299
9.8,-0.587785
9.805,-0.575847
9.81,-0.562083
9.815,-0.549826
9.82,-0.535827
9.825,-0.523263
9.83,-0.509041
9.835,-0.496184
9.84,-0.481754
9.845,-0.468614
9.85,-0.45399
9.855,-0.440583
9.86,-0.425779
9.865,-0.412173
9.87,-0.397148
9.875,-0.383281
9.88,-0.368125
9.885,-0.354124
9.89,-0.338738
9.895,-0.324445
9.9,-0.309017
9.905,-0.294703
9.91,-0.278991
9.915,-0.264298
9.92,-0.24869
9.925,-0.234155
9.93,-0.218143
9.935,-0.203062
9.94,-0.187381
9.945,-0.172745
9.95,-0.156434
9.955,-0.140937
9.96,-0.125333
9.965,-0.110789
9.97,-0.0941083
9.975,-0.0780138
9.98,-0.0627905
9.985,-0.0489141
9.99,-0.0314108
9.995,-0.0132505
